person_id,current_affiliation,oral_presentation_paper,share_of _publication,affiliation_hq_country,undergrad_uni,undergrad_country,
110,Google DeepMind,28,0.0666666667,USA,University of Cambridge,UK,
111,Google DeepMind,28,0.0666666667,USA,University of Cambridge,UK,
112,Google DeepMind,28,0.0666666667,USA,University of Rochester,USA,
113,Google DeepMind,28,0.0666666667,USA,,,
114,Google DeepMind,28,0.0666666667,USA,,,
115,Google DeepMind,28,0.0666666667,USA,,,
116,Google DeepMind,28,0.0666666667,USA,,,
117,Tencent,29,0.1666666667,China,University of Science and Technology of China,China,
118,ETH Zurich,29,0.1666666667,Switzerland,Peking University,China,
119,University of Rochester,29,0.1666666667,USA,Univeristy of Science and Technology of China,China,
120,University of California-Davis,29,0.1666666667,USA,Zhejiang University,China,
121,IBM ,29,0.1666666667,USA,Beijing University of Technology,China,
122,University of California-Davis,29,0.1666666667,USA,National Taiwan University,Taiwan,
123,Microsoft,30,0.1428571429,USA,ENSI,France,
124,Microsoft,30,0.1428571429,USA,Indian Institute of Technology,India,
125,Microsoft,30,0.1428571429,USA,Visvesvaraya Technological University,India,
126,Microsoft,30,0.1428571429,USA,Indian Institute of Technology,USA,
127,Microsoft,30,0.1428571429,USA,University California-Berkeley,USA,
128,Microsoft,30,0.1428571429,USA,Caltech,USA,
129,Microsoft,30,0.1428571429,USA,Caltech,USA,
130,John Hopkins,31,0.5000000000,USA,Princeton University,USA,
131,John Hopkins,31,0.5000000000,USA,Mount Holyoke,USA,
132,Brown University,32,0.2500000000,USA,University of the Witwatersrand,South Africa,
133,Harvard University,32,0.2500000000,USA,Brigham Young University,USA,
134,Harvard University,32,0.2500000000,USA,Colgate University,USA,
135,Harvard University,32,0.2500000000,USA,MIT,USA,
136,Cambridge University,33,0.3333333333,UK,DTU,Denmark,
137,Cambridge University,33,0.3333333333,UK,University of Cambridge,UK,
138,Prowler.io,33,0.3333333333,UK,,,
139,OpenAI,34,0.2000000000,USA,University of Leuven,Belgium,
140,University of California-Berkeley,34,0.2000000000,USA,Jacobs University Bremen,Germany,
141,University of California-Berkeley,34,0.2000000000,USA,University of Oxford,UK,
142,University of California-Berkeley,34,0.2000000000,USA,MIT,USA,
143,University of California-Berkeley,34,0.2000000000,USA,University of California-Berkeley,USA,
144,University College London,35,0.2500000000,UK,University of Porto,Portugal,
145,Alan Turing Institute,35,0.2500000000,UK,Macalester College,USA,
146,Alan Turing Institute,35,0.2500000000,UK,Western Michigan University,USA,
147,Alan Turing Institute,35,0.2500000000,UK,,,
148,Stanford,36,0.2500000000,USA,Tsinghua University,China,
149,Massachusetts Institute of Technology,36,0.2500000000,USA,MIT,USA,
150,Northwestern,36,0.2500000000,USA,Cornell University,USA,
151,Stanford,36,0.2500000000,USA,,,
152,University of Edinburgh,37,0.3333333333,UK,Aristotle University of Thessalonik,Greece,
153,University of Edinburgh,37,0.3333333333,UK,University of Cambridge,UK,
154,University of Edinburgh,37,0.3333333333,UK,Imperial College London,UK,
155,University of Montreal,38,0.1428571429,Canada,University of Montreal,Canada,
156,Janelia Research Campus,38,0.1428571429,USA,East China Normal University,China,
157,Cambridge University,38,0.1428571429,UK,University of Cambridge,UK,
158,University College London,38,0.1428571429,UK,King's College London,UK,
159,Janelia Research Campus,38,0.1428571429,USA,"University of Massachusetts, Amherst",USA,
160,University College London,38,0.1428571429,UK,,,
161,University College London,38,0.1428571429,UK,,,
162,Amazon,39,0.1666666667,USA,Technical University Munich,Germany,
163,Carnegie Mellon University,39,0.1666666667,USA,Eötvös Loránd University,Hungary,
164,Carnegie Mellon University,39,0.1666666667,USA,"Indian Institute of Technology, Guwahati",India,
165,Carnegie Mellon University,39,0.1666666667,USA,Indian Institute of Technology Bombay,India,
166,Carnegie Mellon University,39,0.1666666667,USA,Sharif University,Iran,
167,Carnegie Mellon University,39,0.1666666667,USA,High Point University,USA,
168,Istituto Italiano di Tecnologia,40,0.1111111111,Italy,University of Pisa,Italy,
169,Istituto Italiano di Tecnologia,40,0.1111111111,Italy,University of Milano-Bicocca,Italy,
170,Istituto Italiano di Tecnologia,40,0.1111111111,Italy,University of Padova,Italy,
171,Istituto Italiano di Tecnologia,40,0.1111111111,Italy,University of Torino,Italy,
172,International School for Advanced Studies,40,0.1111111111,Italy,University of Virginia,USA,
173,Harvard University,40,0.1111111111,USA,Vanderbilt University,USA,
174,University of Glasgow,40,0.1111111111,UK,,,
175,Harvard University,40,0.1111111111,USA,,,
176,Pittsburgh University,40,0.1111111111,USA,,,
177,Massachusetts Institute of Technology,41,0.2500000000,USA,Peking University,China,
178,Microsoft,41,0.2500000000,USA,Dalian University of Technology,China,
179,National Institute of Informatics,41,0.2500000000,Japan,University of Tokyo,Japan,
180,Microsoft,41,0.2500000000,USA,University of Virginia,USA,
,,,41.0000000000,,,,
